com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude
21442;COM;27;21;211;0;MOREY SAINT DENIS;Morey-Saint-Denis;Morey-Saint-Denis;2118;;Morey-Saint-Denis;47.2;4.966667
21444;COM;27;21;213;0;MOSSON;Mosson;Mosson;2105;;Mosson;47.916667;4.633333
21445;COM;27;21;213;3;MOTTE TERNANT;Motte-Ternant;La Motte-Ternant;2122;;La Motte-Ternant;47.316667;4.333333
21446;COM;27;21;213;0;MOUTIERS SAINT JEAN;Moutiers-Saint-Jean;Moutiers-Saint-Jean;2119;;Moutiers-Saint-Jean;47.566667;4.216667
21447;COM;27;21;211;0;MUSIGNY;Musigny;Musigny;2101;;Musigny;47.166667;4.516667
21448;COM;27;21;213;0;MUSSY LA FOSSE;Mussy-la-Fosse;Mussy-la-Fosse;2119;;Mussy-la-Fosse;47.516667;4.433333
21449;COM;27;21;213;0;NAN SOUS THIL;Nan-sous-Thil;Nan-sous-Thil;2122;;Nan-sous-Thil;47.383333;4.35
21450;COM;27;21;211;0;NANTOUX;Nantoux;Nantoux;2117;;Nantoux;47.033333;4.75
21451;COM;27;21;213;0;NESLE ET MASSOULT;Nesle-et-Massoult;Nesle-et-Massoult;2119;;Nesle-et-Massoult;47.783333;4.433333
21452;COM;27;21;212;0;NEUILLY LES DIJON;Neuilly-lès-Dijon;Neuilly-lès-Dijon;2107;;Neuilly-lÃ¨s-Dijon;47.283333;5.1
21454;COM;27;21;213;0;NICEY;Nicey;Nicey;2105;;Nicey;47.866667;4.316667
21455;COM;27;21;213;0;NOD SUR SEINE;Nod-sur-Seine;Nod-sur-Seine;2105;;Nod-sur-Seine;47.766667;4.566667
21456;COM;27;21;213;0;NOGENT LES MONTBARD;Nogent-lès-Montbard;Nogent-lès-Montbard;2119;;Nogent-lÃ¨s-Montbard;;
21457;COM;27;21;213;0;NOIDAN;Noidan;Noidan;2122;;Noidan;47.35;4.416667
21458;COM;27;21;211;0;NOIRON SOUS GEVREY;Noiron-sous-Gevrey;Noiron-sous-Gevrey;2120;;Noiron-sous-Gevrey;47.2;5.083333
21459;COM;27;21;212;0;NOIRON SUR BEZE;Noiron-sur-Bèze;Noiron-sur-Bèze;2121;;Noiron-sur-BÃ¨ze;47.433333;5.3
21460;COM;27;21;213;0;NOIRON SUR SEINE;Noiron-sur-Seine;Noiron-sur-Seine;2105;;Noiron-sur-Seine;47.95;4.483333
