com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude,type
1056;COM;84;1;14;0;BOYEUX SAINT JEROME;Boyeux-Saint-Jérôme;Boyeux-Saint-Jérôme;116;;Boyeux-Saint-JÃ©rÃ´me;46.033333;5.466667;-1
1057;COM;84;1;12;0;BOZ;Boz;Boz;117;;Boz;46.4;4.9;0
1058;COM;84;1;11;0;BREGNIER CORDON;Brégnier-Cordon;Brégnier-Cordon;104;;BrÃ©gnier-Cordon;45.65;5.616667;0
1060;COM;84;1;14;0;BRENOD;Brénod;Brénod;110;;BrÃ©nod;46.066667;5.6;-1
1061;COM;84;1;11;0;BRENS;Brens;Brens;104;;Brens;;;0
1062;COM;84;1;12;0;BRESSOLLES;Bressolles;Bressolles;112;;Bressolles;45.866667;5.1;0
1063;COM;84;1;14;0;BRION;Brion;Brion;114;;Brion;;;0
1064;COM;84;1;11;0;BRIORD;Briord;Briord;111;;Briord;45.783333;5.466667;0
1065;COM;84;1;12;0;BUELLAS;Buellas;Buellas;102;;Buellas;46.2;5.133333;-1
1066;COM;84;1;11;3;BURBANCHE;Burbanche;La Burbanche;104;;La Burbanche;45.85;5.566667;0
1067;COM;84;1;14;0;CEIGNES;Ceignes;Ceignes;116;;Ceignes;46.116667;5.5;0
1068;COM;84;1;14;0;CERDON;Cerdon;Cerdon;116;;Cerdon;46.083333;5.466667;0
1069;COM;84;1;12;0;CERTINES;Certines;Certines;107;;Certines;46.133333;5.266667;0
1071;COM;84;1;13;0;CESSY;Cessy;Cessy;109;;Cessy;46.316667;6.066667;0
1072;COM;84;1;12;0;CEYZERIAT;Ceyzériat;Ceyzériat;107;;CeyzÃ©riat;46.166667;5.316667;0
1073;COM;84;1;11;0;CEYZERIEU;Ceyzérieu;Ceyzérieu;104;;CeyzÃ©rieu;45.833333;5.733333;0
1074;COM;84;1;12;0;CHALAMONT;Chalamont;Chalamont;107;;Chalamont;46;5.166667;0
1075;COM;84;1;12;0;CHALEINS;Chaleins;Chaleins;122;;Chaleins;46.033333;4.8;0
1076;COM;84;1;11;0;CHALEY;Chaley;Chaley;110;;Chaley;45.95;5.533333;0
1077;COM;84;1;14;0;CHALLES LA MONTAGNE;Challes-la-Montagne;Challes-la-Montagne;116;;Challes-la-Montagne;46.133333;5.466667;-1
1078;COM;84;1;13;0;CHALLEX;Challex;Challex;120;;Challex;46.183333;5.966667;-1
1079;COM;84;1;11;0;CHAMPAGNE EN VALROMEY;Champagne-en-Valromey;Champagne-en-Valromey;110;;Champagne-en-Valromey;45.9;5.683333;0
1080;COM;84;1;11;0;CHAMPDOR CORCELLES;Champdor-Corcelles;Champdor-Corcelles;110;;Champdor;46.016667;5.6;0
1081;COM;84;1;14;0;CHAMPFROMIER;Champfromier;Champfromier;103;;Champfromier;46.2;5.816667;0
1082;COM;84;1;14;0;CHANAY;Chanay;Chanay;103;;Chanay;46;5.783333;0
1083;COM;84;1;12;0;CHANEINS;Chaneins;Chaneins;122;;Chaneins;46.1;4.85;0
1084;COM;84;1;12;0;CHANOZ CHATENAY;Chanoz-Châtenay;Chanoz-Châtenay;123;;Chanoz-ChÃ¢tenay;46.183333;5.033333;-1
1085;COM;84;1;12;3;CHAPELLE DU CHATELARD;Chapelle-du-Châtelard;La Chapelle-du-Châtelard;108;;La Chapelle-du-ChÃ¢telard;46.066667;5.033333;-1
1087;COM;84;1;14;0;CHARIX;Charix;Charix;114;;Charix;46.183333;5.683333;0
1088;COM;84;1;11;0;CHARNOZ SUR AIN;Charnoz-sur-Ain;Charnoz-sur-Ain;111;;Charnoz-sur-Ain;45.866667;5.216667;-1
1089;COM;84;1;11;0;CHATEAU GAILLARD;Château-Gaillard;Château-Gaillard;101;;ChÃ¢teau-Gaillard;45.966667;5.3;-1
1090;COM;84;1;12;0;CHATENAY;Châtenay;Châtenay;107;;ChÃ¢tenay;46.033333;5.2;0
1092;COM;84;1;12;0;CHATILLON LA PALUD;Châtillon-la-Palud;Châtillon-la-Palud;107;;ChÃ¢tillon-la-Palud;45.966667;5.25;-1
1093;COM;84;1;12;0;CHATILLON SUR CHALARONNE;Châtillon-sur-Chalaronne;Châtillon-sur-Chalaronne;108;;ChÃ¢tillon-sur-Chalaronne;46.116667;4.966667;-1
1094;COM;84;1;12;0;CHAVANNES SUR REYSSOUZE;Chavannes-sur-Reyssouze;Chavannes-sur-Reyssouze;117;;Chavannes-sur-Reyssouze;46.433333;5;-1
1095;COM;84;1;12;0;NIVIGNE ET SURAN;Nivigne et Suran;Nivigne et Suran;118;;Chavannes-sur-Suran;46.266667;5.416667;-1
1096;COM;84;1;12;0;CHAVEYRIAT;Chaveyriat;Chaveyriat;123;;Chaveyriat;46.183333;5.066667;0
1098;COM;84;1;11;0;CHAZEY BONS;Chazey-Bons;Chazey-Bons;104;;Chazey-Bons;45.8;5.683333;-1
1099;COM;84;1;11;0;CHAZEY SUR AIN;Chazey-sur-Ain;Chazey-sur-Ain;111;;Chazey-sur-Ain;45.9;5.25;-1
1100;COM;84;1;11;0;CHEIGNIEU LA BALME;Cheignieu-la-Balme;Cheignieu-la-Balme;104;;Cheignieu-la-Balme;45.833333;5.616667;0
1101;COM;84;1;14;0;CHEVILLARD;Chevillard;Chevillard;110;;Chevillard;46.116667;5.583333;-1
1102;COM;84;1;12;0;CHEVROUX;Chevroux;Chevroux;117;;Chevroux;46.383333;4.95;-1
1103;COM;84;1;13;0;CHEVRY;Chevry;Chevry;120;;Chevry;46.283333;6.033333;0
1104;COM;84;1;13;0;CHEZERY FORENS;Chézery-Forens;Chézery-Forens;120;;ChÃ©zery-Forens;46.216667;5.883333;0
1105;COM;84;1;12;0;CIVRIEUX;Civrieux;Civrieux;122;;Civrieux;45.916667;4.883333;0
1106;COM;84;1;12;0;CIZE;Cize;Cize;118;;Cize;46.2;5.433333;0
1107;COM;84;1;11;0;CLEYZIEU;Cleyzieu;Cleyzieu;101;;Cleyzieu;45.9;5.433333;0
1108;COM;84;1;12;0;COLIGNY;Coligny;Coligny;118;;Coligny;46.383333;5.35;0
1109;COM;84;1;13;0;COLLONGES;Collonges;Collonges;120;;Collonges;46.133333;5.9;-1
1110;COM;84;1;11;0;COLOMIEU;Colomieu;Colomieu;104;;Colomieu;45.733333;5.616667;0
1111;COM;84;1;11;0;CONAND;Conand;Conand;101;;Conand;45.883333;5.466667;0
1112;COM;84;1;14;0;CONDAMINE;Condamine;Condamine;110;;Condamine;46.116667;5.566667;0
1113;COM;84;1;12;0;CONDEISSIAT;Condeissiat;Condeissiat;108;;Condeissiat;46.166667;5.083333;0
1114;COM;84;1;14;0;CONFORT;Confort;Confort;103;;Confort;46.15;5.816667;-1
1115;COM;84;1;12;0;CONFRANCON;Confrançon;Confrançon;102;;ConfranÃ§on;46.266667;5.066667;-1
1116;COM;84;1;11;0;CONTREVOZ;Contrevoz;Contrevoz;104;;Contrevoz;45.8;5.633333;0
1117;COM;84;1;11;0;CONZIEU;Conzieu;Conzieu;104;;Conzieu;45.733333;5.6;0
1118;COM;84;1;11;0;CORBONOD;Corbonod;Corbonod;110;;Corbonod;45.95;5.816667;-1
1121;COM;84;1;11;0;CORLIER;Corlier;Corlier;110;;Corlier;46.033333;5.5;0
1123;COM;84;1;12;0;CORMORANCHE SUR SAONE;Cormoranche-sur-Saône;Cormoranche-sur-Saône;123;;Cormoranche-sur-SaÃ´ne;46.233333;4.833333;-1
1124;COM;84;1;12;0;CORMOZ;Cormoz;Cormoz;118;;Cormoz;46.45;5.233333;0
1125;COM;84;1;12;0;CORVEISSIAT;Corveissiat;Corveissiat;118;;Corveissiat;46.233333;5.483333;0
1127;COM;84;1;12;0;COURMANGOUX;Courmangoux;Courmangoux;118;;Courmangoux;46.333333;5.366667;1
1128;COM;84;1;12;0;COURTES;Courtes;Courtes;117;;Courtes;46.466667;5.1;1
1129;COM;84;1;12;0;CRANS;Crans;Crans;107;;Crans;45.966667;5.216667;0
1130;COM;84;1;12;0;BRESSE VALLONS;Bresse Vallons;Bresse Vallons;102;;Cras-sur-Reyssouze;46.3;5.166667;-1
1133;COM;84;1;11;0;CRESSIN ROCHEFORT;Cressin-Rochefort;Cressin-Rochefort;104;;Cressin-Rochefort;45.766667;5.766667;-1
1134;COM;84;1;12;0;CROTTET;Crottet;Crottet;123;;Crottet;46.283333;4.9;0
1135;COM;84;1;13;0;CROZET;Crozet;Crozet;120;;Crozet;;;0
1136;COM;84;1;12;0;CRUZILLES LES MEPILLAT;Cruzilles-lès-Mépillat;Cruzilles-lès-Mépillat;123;;Cruzilles-lÃ¨s-MÃ©pillat;46.216667;4.883333;-1
1138;COM;84;1;11;0;CULOZ;Culoz;Culoz;110;;Culoz;45.85;5.783333;0
1139;COM;84;1;12;0;CURCIAT DONGALON;Curciat-Dongalon;Curciat-Dongalon;117;;Curciat-Dongalon;46.466667;5.15;0
1140;COM;84;1;12;0;CURTAFOND;Curtafond;Curtafond;102;;Curtafond;46.266667;5.083333;0
1141;COM;84;1;11;0;CUZIEU;Cuzieu;Cuzieu;104;;Cuzieu;;;0
1142;COM;84;1;12;0;DAGNEUX;Dagneux;Dagneux;112;;Dagneux;45.85;5.066667;-1
1143;COM;84;1;13;0;DIVONNE LES BAINS;Divonne-les-Bains;Divonne-les-Bains;109;;Divonne-les-Bains;46.366667;6.133333;0
1145;COM;84;1;12;0;DOMPIERRE SUR VEYLE;Dompierre-sur-Veyle;Dompierre-sur-Veyle;107;;Dompierre-sur-Veyle;46.066667;5.2;-1
1146;COM;84;1;12;0;DOMPIERRE SUR CHALARONNE;Dompierre-sur-Chalaronne;Dompierre-sur-Chalaronne;108;;Dompierre-sur-Chalaronne;46.133333;4.9;-1
1147;COM;84;1;12;0;DOMSURE;Domsure;Domsure;118;;Domsure;46.416667;5.3;-1
1148;COM;84;1;14;0;DORTAN;Dortan;Dortan;116;;Dortan;46.316667;5.666667;0
1149;COM;84;1;11;0;DOUVRES;Douvres;Douvres;101;;Douvres;45.983333;5.366667;0
1150;COM;84;1;12;0;DROM;Drom;Drom;118;;Drom;46.216667;5.366667;0
1151;COM;84;1;12;0;DRUILLAT;Druillat;Druillat;107;;Druillat;46.066667;5.316667;-1
1152;COM;84;1;14;1;ECHALLON;Échallon;Échallon;114;;Echallon;;;-1
1153;COM;84;1;13;1;ECHENEVEX;Échenevex;Échenevex;120;;Echenevex;46.316667;6.033333;0
1155;COM;84;1;11;1;EVOSGES;Évosges;Évosges;110;;Evosges;45.958333;5.5;0
1156;COM;84;1;11;0;FARAMANS;Faramans;Faramans;112;;Faramans;45.9;5.116667;1
1157;COM;84;1;12;0;FAREINS;Fareins;Fareins;122;;Fareins;46.016667;4.766667;1
1158;COM;84;1;13;0;FARGES;Farges;Farges;120;;Farges;46.166667;5.916667;1
1159;COM;84;1;12;0;FEILLENS;Feillens;Feillens;117;;Feillens;46.333333;4.883333;-1
1160;COM;84;1;13;0;FERNEY VOLTAIRE;Ferney-Voltaire;Ferney-Voltaire;119;;Ferney-Voltaire;46.25;6.116667;0
1162;COM;84;1;11;0;FLAXIEU;Flaxieu;Flaxieu;104;;Flaxieu;45.816667;5.733333;0
1163;COM;84;1;12;0;FOISSIAT;Foissiat;Foissiat;102;;Foissiat;46.366667;5.183333;0
1165;COM;84;1;12;0;FRANCHELEINS;Francheleins;Francheleins;122;;Francheleins;46.066667;4.8;1
1166;COM;84;1;12;0;FRANS;Frans;Frans;121;;Frans;45.983333;4.783333;0
1167;COM;84;1;12;0;GARNERANS;Garnerans;Garnerans;108;;Garnerans;46.2;4.833333;0
1169;COM;84;1;12;0;GENOUILLEUX;Genouilleux;Genouilleux;108;;Genouilleux;46.116667;4.783333;-1
1170;COM;84;1;14;0;BEARD GEOVREISSIAT;Béard-Géovreissiat;Béard-Géovreissiat;114;;GÃ©ovreissiat;46.2;5.566667;0
1171;COM;84;1;14;0;GEOVREISSET;Géovreisset;Géovreisset;114;;GÃ©ovreisset;46.25;5.6;0
1173;COM;84;1;13;0;GEX;Gex;Gex;109;;Gex;46.333333;6.066667;0
1174;COM;84;1;14;0;GIRON;Giron;Giron;103;;Giron;46.233333;5.766667;0
1175;COM;84;1;12;0;GORREVOD;Gorrevod;Gorrevod;117;;Gorrevod;46.416667;4.95;0
1177;COM;84;1;12;0;GRAND CORENT;Grand-Corent;Grand-Corent;118;;Grand-Corent;46.2;5.433333;1
1179;COM;84;1;12;0;GRIEGES;Grièges;Grièges;123;;GriÃ¨ges;46.25;4.85;0
1180;COM;84;1;13;0;GRILLY;Grilly;Grilly;109;;Grilly;46.333333;6.116667;-1
1181;COM;84;1;14;0;GROISSIAT;Groissiat;Groissiat;114;;Groissiat;46.216667;5.6;0
1183;COM;84;1;12;0;GUEREINS;Guéreins;Guéreins;108;;GuÃ©reins;46.1;4.783333;0
1184;COM;84;1;12;1;HAUTECOURT ROMANECHE;Hautecourt-Romanèche;Hautecourt-Romanèche;118;;Hautecourt-RomanÃ¨che;46.158333;5.416667;-1
1185;COM;84;1;11;0;PLATEAU D HAUTEVILLE;'Plateau d''Hauteville';'Plateau d''Hauteville';110;;Hauteville-Lompnes;45.966667;5.6;1
1187;COM;84;1;11;0;HAUT VALROMEY;Haut Valromey;Haut Valromey;110;;Hotonnes;46;5.683333;1
1188;COM;84;1;12;1;ILLIAT;Illiat;Illiat;108;;Illiat;46.183333;4.883333;1
1189;COM;84;1;14;1;INJOUX GENISSIAT;Injoux-Génissiat;Injoux-Génissiat;103;;Injoux-GÃ©nissiat;46.05;5.783333;0
1190;COM;84;1;11;1;INNIMOND;Innimond;Innimond;111;;Innimond;45.783333;5.566667;0
1191;COM;84;1;14;1;IZENAVE;Izenave;Izenave;110;;Izenave;46.033333;5.533333;0
1192;COM;84;1;14;1;IZERNORE;Izernore;Izernore;116;;Izernore;46.216667;5.55;-1
1193;COM;84;1;11;1;IZIEU;Izieu;Izieu;104;;Izieu;45.65;5.633333;0
1194;COM;84;1;12;0;JASSANS RIOTTIER;Jassans-Riottier;Jassans-Riottier;121;;Jassans-Riottier;45.983333;4.75;0
1195;COM;84;1;12;0;JASSERON;Jasseron;Jasseron;118;;Jasseron;46.216667;5.333333;0
1196;COM;84;1;12;0;JAYAT;Jayat;Jayat;102;;Jayat;46.366667;5.116667;0
1197;COM;84;1;12;0;JOURNANS;Journans;Journans;107;;Journans;46.15;5.333333;0
1198;COM;84;1;11;0;JOYEUX;Joyeux;Joyeux;112;;Joyeux;45.95;5.1;0
1199;COM;84;1;14;0;JUJURIEUX;Jujurieux;Jujurieux;116;;Jujurieux;46.033333;5.416667;0
1200;COM;84;1;14;0;LABALME;Labalme;Labalme;116;;Labalme;46.1;5.483333;0
1202;COM;84;1;11;0;LAGNIEU;Lagnieu;Lagnieu;111;;Lagnieu;45.9;5.35;0
1203;COM;84;1;12;0;LAIZ;Laiz;Laiz;123;;Laiz;46.25;4.883333;0
1204;COM;84;1;14;2;POIZAT LALLEYRIAT;Poizat-Lalleyriat;Le Poizat-Lalleyriat;114;;Lalleyriat;46.15;5.716667;-1
1206;COM;84;1;14;0;LANTENAY;Lantenay;Lantenay;110;;Lantenay;46.05;5.533333;0
1207;COM;84;1;12;0;LAPEYROUSE;Lapeyrouse;Lapeyrouse;122;;Lapeyrouse;45.983333;4.966667;-1
1208;COM;84;1;11;0;LAVOURS;Lavours;Lavours;104;;Lavours;45.8;5.766667;0
1209;COM;84;1;13;0;LEAZ;Léaz;Léaz;120;;LÃ©az;46.1;5.883333;0
1210;COM;84;1;13;0;LELEX;Lélex;Lélex;120;;LÃ©lex;46.3;5.95;0
1211;COM;84;1;12;0;LENT;Lent;Lent;107;;Lent;46.116667;5.2;0
1212;COM;84;1;12;0;LESCHEROUX;Lescheroux;Lescheroux;117;;Lescheroux;46.4;5.15;-1
1213;COM;84;1;11;0;LEYMENT;Leyment;Leyment;111;;Leyment;45.916667;5.3;0
1214;COM;84;1;14;0;LEYSSARD;Leyssard;Leyssard;116;;Leyssard;46.166667;5.466667;0
1215;COM;84;1;14;0;SURJOUX LHOPITAL;Surjoux-Lhopital;Surjoux-Lhopital;103;;LhÃ´pital;;;1
1216;COM;84;1;11;0;LHUIS;Lhuis;Lhuis;111;;Lhuis;45.75;5.533333;0
1219;COM;84;1;11;0;LOMPNAS;Lompnas;Lompnas;111;;Lompnas;45.8;5.516667;0
1224;COM;84;1;11;0;LOYETTES;Loyettes;Loyettes;111;;Loyettes;45.766667;5.2;0
1225;COM;84;1;12;0;LURCY;Lurcy;Lurcy;122;;Lurcy;46.066667;4.766667;0
1227;COM;84;1;11;0;MAGNIEU;Magnieu;Magnieu;104;;Magnieu;45.783333;5.716667;0
1228;COM;84;1;14;0;MAILLAT;Maillat;Maillat;114;;Maillat;46.133333;5.55;-1
1229;COM;84;1;12;0;MALAFRETAZ;Malafretaz;Malafretaz;102;;Malafretaz;46.316667;5.15;0
1230;COM;84;1;12;0;MANTENAY MONTLIN;Mantenay-Montlin;Mantenay-Montlin;117;;Mantenay-Montlin;46.416667;5.083333;0
1231;COM;84;1;12;0;MANZIAT;Manziat;Manziat;117;;Manziat;46.35;4.9;0
1232;COM;84;1;12;0;MARBOZ;Marboz;Marboz;118;;Marboz;46.333333;5.25;0
1233;COM;84;1;11;0;MARCHAMP;Marchamp;Marchamp;111;;Marchamp;45.783333;5.55;0
1234;COM;84;1;11;0;MARIGNIEU;Marignieu;Marignieu;104;;Marignieu;45.8;5.716667;0
1235;COM;84;1;12;0;MARLIEUX;Marlieux;Marlieux;108;;Marlieux;46.066667;5.066667;0
1236;COM;84;1;12;0;MARSONNAS;Marsonnas;Marsonnas;102;;Marsonnas;46.333333;5.066667;0
1237;COM;84;1;14;0;MARTIGNAT;Martignat;Martignat;114;;Martignat;46.216667;5.6;0
1238;COM;84;1;12;0;MASSIEUX;Massieux;Massieux;121;;Massieux;45.916667;4.833333;0
1239;COM;84;1;11;0;MASSIGNIEU DE RIVES;Massignieu-de-Rives;Massignieu-de-Rives;104;;Massignieu-de-Rives;45.75;5.766667;0
1240;COM;84;1;14;0;MATAFELON GRANGES;Matafelon-Granges;Matafelon-Granges;116;;Matafelon-Granges;46.266667;5.566667;1
1241;COM;84;1;12;0;MEILLONNAS;Meillonnas;Meillonnas;118;;Meillonnas;46.25;5.35;-1
1242;COM;84;1;14;0;MERIGNAT;Mérignat;Mérignat;116;;MÃ©rignat;46.066667;5.433333;1
1243;COM;84;1;12;0;MESSIMY SUR SAONE;Messimy-sur-Saône;Messimy-sur-Saône;122;;Messimy-sur-SaÃ´ne;;;-1
1244;COM;84;1;11;0;MEXIMIEUX;Meximieux;Meximieux;112;;Meximieux;45.9;5.2;0
1245;COM;84;1;12;0;BOHAS MEYRIAT RIGNAT;Bohas-Meyriat-Rignat;Bohas-Meyriat-Rignat;118;;Bohas-Meyriat-Rignat;46.133333;5.4;0
1246;COM;84;1;12;0;MEZERIAT;Mézériat;Mézériat;123;;MÃ©zÃ©riat;46.233333;5.033333;0
1247;COM;84;1;13;0;MIJOUX;Mijoux;Mijoux;120;;Mijoux;46.366667;6;0
1248;COM;84;1;12;0;MIONNAY;Mionnay;Mionnay;122;;Mionnay;45.9;4.933333;0
1249;COM;84;1;12;0;MIRIBEL;Miribel;Miribel;113;;Miribel;;;-1
1250;COM;84;1;12;0;MISERIEUX;Misérieux;Misérieux;121;;MisÃ©rieux;45.983333;4.816667;-1
1252;COM;84;1;12;0;MOGNENEINS;Mogneneins;Mogneneins;108;;Mogneneins;46.133333;4.816667;0
1254;COM;84;1;12;0;MONTAGNAT;Montagnat;Montagnat;107;;Montagnat;46.166667;5.283333;0
1255;COM;84;1;11;0;MONTAGNIEU;Montagnieu;Montagnieu;111;;Montagnieu;45.8;5.466667;0
1257;COM;84;1;14;0;MONTANGES;Montanges;Montanges;103;;Montanges;46.166667;5.8;0
1258;COM;84;1;12;0;MONTCEAUX;Montceaux;Montceaux;108;;Montceaux;46.1;4.8;0
1259;COM;84;1;12;0;MONTCET;Montcet;Montcet;102;;Montcet;46.2;5.116667;0
1260;COM;84;1;11;2;MONTELLIER;Montellier;Le Montellier;112;;Le Montellier;45.933333;5.066667;-1
1261;COM;84;1;12;0;MONTHIEUX;Monthieux;Monthieux;122;;Monthieux;45.95;4.933333;0
1262;COM;84;1;12;0;MONTLUEL;Montluel;Montluel;112;;Montluel;45.85;5.05;0
1263;COM;84;1;12;0;MONTMERLE SUR SAONE;Montmerle-sur-Saône;Montmerle-sur-Saône;108;;Montmerle-sur-SaÃ´ne;46.083333;4.766667;-1
1264;COM;84;1;12;0;MONTRACOL;Montracol;Montracol;102;;Montracol;46.183333;5.116667;0
1265;COM;84;1;14;0;MONTREAL LA CLUSE;Montréal-la-Cluse;Montréal-la-Cluse;114;;MontrÃ©al-la-Cluse;;;-1
1266;COM;84;1;12;0;MONTREVEL EN BRESSE;Montrevel-en-Bresse;Montrevel-en-Bresse;102;;Montrevel-en-Bresse;46.333333;5.133333;0
1267;COM;84;1;14;0;NURIEUX VOLOGNAT;Nurieux-Volognat;Nurieux-Volognat;116;;Nurieux-Volognat;;;1
1268;COM;84;1;11;0;MURS ET GELIGNIEUX;Murs-et-Gélignieux;Murs-et-Gélignieux;104;;Murs-et-GÃ©lignieux;45.633333;5.666667;1
1269;COM;84;1;14;0;NANTUA;Nantua;Nantua;114;;Nantua;46.15;5.616667;0
1272;COM;84;1;12;0;NEUVILLE LES DAMES;Neuville-les-Dames;Neuville-les-Dames;108;;Neuville-les-Dames;46.166667;5;1
1273;COM;84;1;14;0;NEUVILLE SUR AIN;Neuville-sur-Ain;Neuville-sur-Ain;116;;Neuville-sur-Ain;46.083333;5.366667;1
